Label,InteractionId,OutputType,Duration,AgentId
0,7742125972650598455,1,67.673,6
0,7742125972650598455,1,67.673,6
0,7742125972650598455,1,67.673,6
0,7742125972650598455,1,67.673,6
0,7742125972650598455,1,67.673,6
0,7742125972650598455,1,67.673,6
0,7742125972650598455,1,67.673,6
0,7742125972650598455,1,67.673,6
0,7742125972650598455,1,67.673,6
0,7742125972650598455,1,67.673,6
0,7742125972650598455,1,67.673,6
0,7757144505420031025,2,325.833,6
0,7757144509718458601,1,325.833,6
0,7742125972650598455,1,67.673,6
0,7757144505420031025,2,325.833,6
0,7757144509718458601,1,325.833,6
0,7742125972650598455,1,67.673,6
0,7742125972650598455,1,67.673,6
0,7757144505420031025,2,325.833,6
0,7757144509718458601,1,325.833,6
0,7742125972650598455,1,67.673,6
0,7757144505420031025,2,325.833,6
0,7757144509718458601,1,325.833,6
